[2024-11-09 06:11:23] [class-ss-archive-creation-job.php:83] Starting a job; no job is presently running
[2024-11-09 06:11:23] [class-ss-archive-creation-job.php:84] Here's our task list: setup, fetch_urls, generate_404, create_zip_archive, wrapup
[2024-11-09 06:11:23] [class-ss-archive-creation-job.php:102] Pushing first task to queue: setup
[2024-11-09 06:11:24] [class-ss-archive-creation-job.php:136] Current task: setup
[2024-11-09 06:11:24] [class-ss-archive-creation-job.php:153] Performing task: setup
[2024-11-09 06:11:24] [class-ss-task.php:44] Status message: [setup] Setting up
[2024-11-09 06:11:24] [class-ss-setup-task.php:33] Creating archive directory: D:\xampp\htdocs\diploma-batch-76\wordpress/wp-content/uploads\simply-static\temp-files/simply-static-1-1731132683\
[2024-11-09 06:11:24] [class-ss-setup-task.php:72] Adding origin URL to queue: http://localhost/diploma-batch-76/wordpress/
[2024-11-09 06:11:24] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/animate.css/animate-config.json
[2024-11-09 06:11:24] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/animate.css/animate.css
[2024-11-09 06:11:24] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/animate.css/animate.min.css
[2024-11-09 06:11:25] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/animations/animations.min.css
[2024-11-09 06:11:25] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/backbone/backbone.marionette.js
[2024-11-09 06:11:25] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/backbone/backbone.marionette.min.js
[2024-11-09 06:11:25] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/backbone/backbone.radio.js
[2024-11-09 06:11:25] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/backbone/backbone.radio.min.js
[2024-11-09 06:11:25] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/color-thief/color-thief.min.js
[2024-11-09 06:11:25] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/dialog/dialog.js
[2024-11-09 06:11:25] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/dialog/dialog.min.js
[2024-11-09 06:11:25] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/e-gallery/css/e-gallery.css
[2024-11-09 06:11:25] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/e-gallery/css/e-gallery.min.css
[2024-11-09 06:11:25] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/e-gallery/js/e-gallery.js
[2024-11-09 06:11:25] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/e-gallery/js/e-gallery.min.js
[2024-11-09 06:11:25] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/e-select2/css/e-select2.css
[2024-11-09 06:11:25] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/e-select2/css/e-select2.min.css
[2024-11-09 06:11:25] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/e-select2/js/e-select2.full.js
[2024-11-09 06:11:25] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/e-select2/js/e-select2.full.min.js
[2024-11-09 06:11:25] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.css
[2024-11-09 06:11:25] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css
[2024-11-09 06:11:25] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/eicons/eicons.json
[2024-11-09 06:11:25] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.eot
[2024-11-09 06:11:25] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.svg
[2024-11-09 06:11:25] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.ttf
[2024-11-09 06:11:26] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.woff
[2024-11-09 06:11:26] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.woff2
[2024-11-09 06:11:26] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/flatpickr/flatpickr.css
[2024-11-09 06:11:26] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/flatpickr/flatpickr.js
[2024-11-09 06:11:26] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/flatpickr/flatpickr.min.css
[2024-11-09 06:11:26] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/flatpickr/flatpickr.min.js
[2024-11-09 06:11:26] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.css
[2024-11-09 06:11:26] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css
[2024-11-09 06:11:26] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.css
[2024-11-09 06:11:26] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min.css
[2024-11-09 06:11:26] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.css
[2024-11-09 06:11:26] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min.css
